Date,Open,High,Low,Close,Volume
2020-04-13,118.031998,130.399994,116.106003,130.190002,112377000
2020-04-14,139.794006,148.376007,138.485992,141.977997,152882500
2020-04-15,148.399994,150.626007,142,145.966003,117885000
2020-04-16,143.388,151.889999,141.343994,149.042007,103289500
2020-04-17,154.455994,154.990005,149.531998,150.778,65641000
2020-04-20,146.539993,153.113998,142.442001,149.272003,73733000
2020-04-21,146.024002,150.666,134.757996,137.343994,101045500
2020-04-22,140.796005,146.800003,137.742004,146.421997,70827500
2020-04-23,145.520004,146.800003,140.626007,141.126007,66183500
2020-04-24,142.162003,146.145996,139.636002,145.029999,66060000
2020-04-27,147.522003,159.897995,147,159.75,103407000
2020-04-28,159.128006,161,151.337997,153.824005,76110000
2020-04-29,158.033997,160.639999,156.632004,160.102005,81080000
2020-04-30,171.037994,173.964005,152.699997,156.376007,142359500
2020-05-01,151,154.554001,136.608002,140.264008,162659000
2020-05-04,140.199997,152.399994,139.600006,152.238007,96185500
2020-05-05,157.957993,159.783997,152.436005,153.641998,84958500
2020-05-06,155.300003,157.960007,152.222,156.516006,55616000
2020-05-07,155.442001,159.279999,154.470001,156.007996,57638500
2020-05-08,158.753998,164.800003,157.401993,163.884003,80432500
2020-05-11,158.102005,164.800003,157,162.257996,82598000
2020-05-12,165.399994,168.658005,161.600006,161.882004,79534500
2020-05-13,164.166,165.199997,152.660004,158.192001,95327500
2020-05-14,156,160.671997,152.800003,160.666,68411000
2020-05-15,158.070007,161.009995,157.309998,159.834,52592000
2020-05-18,165.556,166.944,160.776001,162.725998,58329000
2020-05-19,163.033997,164.414001,161.216003,161.602005,48182500
2020-05-20,164.100006,165.199997,162.360001,163.112,36546500
2020-05-21,163.199997,166.5,159.199997,165.520004,61273000
2020-05-22,164.434006,166.356003,162.399994,163.376007,49937500
2020-05-26,166.899994,166.919998,163.141998,163.774002,40448500
2020-05-27,164.171997,165.542007,157,164.046005,57747500
2020-05-28,162.701996,164.949997,160.337997,161.162003,36278000
2020-05-29,161.75,167,160.841995,167,58822500
2020-06-01,171.600006,179.800003,170.820007,179.619995,74697500
2020-06-02,178.940002,181.731995,174.199997,176.311996,67828000
2020-06-03,177.623993,179.587997,176.020004,176.591995,39747500
2020-06-04,177.975998,179.149994,171.688004,172.876007,44438500
2020-06-05,175.567993,177.304001,173.240005,177.132004,39059500
2020-06-08,183.800003,190,181.832001,189.983994,70873500
