id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1380346210985381889	1380346210985381889	2021-04-09 07:55:56 India Standard Time	2021-04-09	07:55:56	+0530	3892965854	stocks_in	Indian Sharemarket Updates		[Automated: 9-Apr 07:55 AM] Indian ADRs on US Exchange #NYSE ICICI Bank : -1.03% HDFC Bank : -0.42% Tata Motors : 2.4% Wipro : 0.76% Vedanta : 1.41% Infosys : 0.57% Dr Reddy's : 0.37%  via GoogleFinance	und	[]	[]	[]	0	0	2	['nyse']	[]	https://twitter.com/stocks_in/status/1380346210985381889	False		0								[]				
1380341476761030656	1380341476761030656	2021-04-09 07:37:08 India Standard Time	2021-04-09	07:37:08	+0530	631810714	cnbctv18news	CNBC-TV18		#Infosys and #BhartiAirtel are among the top stocks to watch out for today. Here's the full list. #StockMarket #StocksToWatch #StocksInFocus    https://t.co/KlX7McfNkO	en	[]	['https://www.cnbctv18.com/photos/market/stocks/cnbc-tv18s-top-stocks-to-watch-out-for-on-april-9-infosys-bharti-airtel-srei-infrastructure-finance-ashok-leyland-ceat-zensar-technologies-8869811.htm']	[]	1	1	11	['infosys', 'bhartiairtel', 'stockmarket', 'stockstowatch', 'stocksinfocus']	[]	https://twitter.com/CNBCTV18News/status/1380341476761030656	False		0								[]				
1380340322362748929	1380340322362748929	2021-04-09 07:32:32 India Standard Time	2021-04-09	07:32:32	+0530	2806794384	ppm_422	Pavan Mantri		GM jsk stock in news metropolis,drlalpath,ashokley,seimens,infosys,shkelkar,cadila,MNM,nacl,alembic,nbcc,jaypeeinfra,sterling,ramcocem,mindacorp,thyrocare, Dhanalakshmi bk,apollohos. Negative stocks bharatiair, AstraZeneca. Nifty range 14800-15050.	in	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/ppm_422/status/1380340322362748929	False		0								[]				
1380240209183301632	1380240209183301632	2021-04-09 00:54:44 India Standard Time	2021-04-09	00:54:44	+0530	1351635102166511616	roketstocks	Money Creates Money		1450++#Infy #Infosys	und	[]	[]	[]	0	0	1	['infy', 'infosys']	[]	https://twitter.com/RoketStocks/status/1380240209183301632	False	https://twitter.com/RoketStocks/status/1378355971873890306	0								[]				
1380210888603398146	1380210888603398146	2021-04-08 22:58:13 India Standard Time	2021-04-08	22:58:13	+0530	1246366816814780416	romulus_bot	RomulusBot		#awardOfOrder #nse #bse #trading #stocks #stockmarket  #INFY - Updates Infosys Limited has informed the Exchange regarding 'Certificate in terms of regulation 74(5) of SEBI (Depositories and Participants) Regulations, 2018. '.  https://t.co/1GJKeOOLYt	en	[]	['https://rmls.co/X494K5']	[]	0	0	0	['awardoforder', 'nse', 'bse', 'trading', 'stocks', 'stockmarket', 'infy']	[]	https://twitter.com/romulus_bot/status/1380210888603398146	False		0								[]				
1380209315445796865	1380209315445796865	2021-04-08 22:51:58 India Standard Time	2021-04-08	22:51:58	+0530	1093141691110998017	rudra_ansh_shiv	RUDRA		#infosys #stocks #stock #Trade  https://t.co/5jfMPgWo79	und	[]	[]	['https://pbs.twimg.com/media/Eyd9B1nVIAAios8.jpg']	0	1	4	['infosys', 'stocks', 'stock', 'trade']	[]	https://twitter.com/RUDRA_ANSH_SHIV/status/1380209315445796865	False		1	https://pbs.twimg.com/media/Eyd9B1nVIAAios8.jpg							[]				
1380164655868379136	1380164655868379136	2021-04-08 19:54:30 India Standard Time	2021-04-08	19:54:30	+0530	1246366816814780416	romulus_bot	RomulusBot		"#awardOfOrder #nse #bse #trading #stocks #stockmarket #PressRelease #INFY - Press Release Infosys Limited has informed the Exchange regarding a press release dated April 08, 2021, titled ""ArcelorMittal and Infosys Announce Strategic Collaboration for Digi.. https://t.co/bR3gHVuLS9"	en	[]	['https://rmls.co/gz92KG']	[]	0	0	0	['awardoforder', 'nse', 'bse', 'trading', 'stocks', 'stockmarket', 'pressrelease', 'infy']	[]	https://twitter.com/romulus_bot/status/1380164655868379136	False		0								[]				
1380164629997842434	1380164629997842434	2021-04-08 19:54:24 India Standard Time	2021-04-08	19:54:24	+0530	1246366816814780416	romulus_bot	RomulusBot		#awardOfOrder #nse #bse #trading #stocks #stockmarket #PressRelease #INFY - Announcement under Regulation 30 (LODR)-Press Release / Media Release ArcelorMittal and Infosys Announce Strategic Collaboration for Digital Transformation  https://t.co/iZI8zouVE8	en	[]	['https://rmls.co/Zj90QE']	[]	0	0	0	['awardoforder', 'nse', 'bse', 'trading', 'stocks', 'stockmarket', 'pressrelease', 'infy']	[]	https://twitter.com/romulus_bot/status/1380164629997842434	False		0								[]				
1380155463241768972	1380155463241768972	2021-04-08 19:17:59 India Standard Time	2021-04-08	19:17:59	+0530	1246366816814780416	romulus_bot	RomulusBot		"#awardOfOrder #nse #bse #trading #stocks #stockmarket #PressRelease #INFY - Press Release Infosys Limited has informed the Exchange regarding a press release dated April 08, 2021, titled ""ArcelorMittal and Infosys Announce Strategic Collaboration for Digi.. https://t.co/bR3gHVMngJ"	en	[]	['https://rmls.co/gz92KG']	[]	0	0	0	['awardoforder', 'nse', 'bse', 'trading', 'stocks', 'stockmarket', 'pressrelease', 'infy']	[]	https://twitter.com/romulus_bot/status/1380155463241768972	False		0								[]				
1380155435605442572	1380155435605442572	2021-04-08 19:17:52 India Standard Time	2021-04-08	19:17:52	+0530	1246366816814780416	romulus_bot	RomulusBot		#awardOfOrder #nse #bse #trading #stocks #stockmarket #PressRelease #INFY - Announcement under Regulation 30 (LODR)-Press Release / Media Release ArcelorMittal and Infosys Announce Strategic Collaboration for Digital Transformation  https://t.co/iZI8zodkMA	en	[]	['https://rmls.co/Zj90QE']	[]	0	0	0	['awardoforder', 'nse', 'bse', 'trading', 'stocks', 'stockmarket', 'pressrelease', 'infy']	[]	https://twitter.com/romulus_bot/status/1380155435605442572	False		0								[]				
