,Date,Open,High,Low,Close,Volume,Trend,TrendString
0,2020-04-13,118.031998,130.399994,116.106003,130.190002,112377000,1,Positive
1,2020-04-14,139.794006,148.37600700000002,138.48599199999998,141.977997,152882500,1,Positive
2,2020-04-15,148.399994,150.62600700000002,142.0,145.966003,117885000,-1,Negative
3,2020-04-16,143.388,151.889999,141.34399399999998,149.042007,103289500,1,Positive
4,2020-04-17,154.455994,154.990005,149.531998,150.778,65641000,-1,Negative
5,2020-04-20,146.53999299999998,153.113998,142.442001,149.272003,73733000,1,Positive
6,2020-04-21,146.024002,150.666,134.757996,137.34399399999998,101045500,-1,Negative
7,2020-04-22,140.796005,146.800003,137.742004,146.421997,70827500,1,Positive
8,2020-04-23,145.520004,146.800003,140.62600700000002,141.12600700000002,66183500,-1,Negative
9,2020-04-24,142.162003,146.145996,139.636002,145.029999,66060000,1,Positive
10,2020-04-27,147.522003,159.897995,147.0,159.75,103407000,1,Positive
11,2020-04-28,159.128006,161.0,151.337997,153.824005,76110000,-1,Negative
12,2020-04-29,158.033997,160.639999,156.632004,160.102005,81080000,1,Positive
13,2020-04-30,171.037994,173.96400500000001,152.699997,156.37600700000002,142359500,-1,Negative
14,2020-05-01,151.0,154.554001,136.608002,140.26400800000002,162659000,-1,Negative
15,2020-05-04,140.199997,152.399994,139.600006,152.238007,96185500,1,Positive
16,2020-05-05,157.957993,159.783997,152.436005,153.641998,84958500,-1,Negative
17,2020-05-06,155.300003,157.96000700000002,152.222,156.516006,55616000,1,Positive
18,2020-05-07,155.442001,159.279999,154.470001,156.007996,57638500,1,Positive
19,2020-05-08,158.753998,164.800003,157.401993,163.884003,80432500,1,Positive
20,2020-05-11,158.102005,164.800003,157.0,162.257996,82598000,1,Positive
21,2020-05-12,165.399994,168.658005,161.600006,161.882004,79534500,-1,Negative
22,2020-05-13,164.166,165.199997,152.66000400000001,158.192001,95327500,-1,Negative
23,2020-05-14,156.0,160.671997,152.800003,160.666,68411000,1,Positive
24,2020-05-15,158.070007,161.009995,157.309998,159.834,52592000,1,Positive
25,2020-05-18,165.55599999999998,166.94400000000002,160.776001,162.725998,58329000,-1,Negative
26,2020-05-19,163.033997,164.414001,161.216003,161.602005,48182500,-1,Negative
27,2020-05-20,164.100006,165.199997,162.360001,163.112,36546500,-1,Negative
28,2020-05-21,163.199997,166.5,159.199997,165.520004,61273000,1,Positive
29,2020-05-22,164.434006,166.35600300000002,162.399994,163.37600700000002,49937500,-1,Negative
30,2020-05-26,166.899994,166.919998,163.141998,163.774002,40448500,-1,Negative
31,2020-05-27,164.171997,165.542007,157.0,164.046005,57747500,-1,Negative
32,2020-05-28,162.701996,164.949997,160.337997,161.162003,36278000,-1,Negative
33,2020-05-29,161.75,167.0,160.841995,167.0,58822500,1,Positive
34,2020-06-01,171.600006,179.800003,170.820007,179.619995,74697500,1,Positive
35,2020-06-02,178.940002,181.73199499999998,174.199997,176.311996,67828000,-1,Negative
36,2020-06-03,177.62399299999998,179.587997,176.020004,176.591995,39747500,-1,Negative
37,2020-06-04,177.975998,179.149994,171.688004,172.87600700000002,44438500,-1,Negative
38,2020-06-05,175.567993,177.304001,173.240005,177.132004,39059500,1,Positive
39,2020-06-08,183.800003,190.0,181.832001,189.983994,70873500,1,Positive
40,2020-06-09,188.001999,190.888,184.78599499999999,188.134003,56941000,1,Positive
41,2020-06-10,198.37600700000002,205.496002,196.5,205.009995,92817000,1,Positive
42,2020-06-11,198.03999299999998,203.792007,194.399994,194.567993,79582500,-1,Negative
43,2020-06-12,196.0,197.595993,182.520004,187.05599999999998,83817000,-1,Negative
44,2020-06-15,183.557999,199.76800500000002,181.699997,198.179993,78486000,1,Positive
45,2020-06-16,202.369995,202.576004,192.477997,196.425995,70255500,-1,Negative
46,2020-06-17,197.542007,201.0,196.51400800000002,198.358002,49454000,1,Positive
47,2020-06-18,200.600006,203.83999599999999,198.89399699999998,200.792007,48759500,1,Positive
48,2020-06-19,202.55599999999998,203.19400000000002,198.26800500000002,200.179993,43398500,-1,Negative
49,2020-06-22,199.990005,201.776001,198.003998,198.863998,31812000,-1,Negative
50,2020-06-23,199.776001,202.399994,198.80200200000002,200.35600300000002,31826500,1,Positive
51,2020-06-24,198.82200600000002,200.175995,190.628006,192.169998,54798000,-1,Negative
52,2020-06-25,190.854004,197.195999,187.429993,197.195999,46272500,1,Positive
53,2020-06-26,198.955994,199.0,190.973999,191.94799799999998,44274500,-1,Negative
54,2020-06-29,193.80200200000002,202.0,189.703995,201.869995,45132000,1,Positive
55,2020-06-30,201.300003,217.537994,200.746002,215.962006,84592500,1,Positive
56,2020-07-01,216.600006,227.065994,216.100006,223.92599500000003,66634500,1,Positive
57,2020-07-02,244.29600499999998,245.600006,237.11999500000002,241.731995,86250500,-1,Negative
58,2020-07-06,255.33799700000003,275.558014,253.20799300000002,274.31601,102849500,1,Positive
59,2020-07-07,281.00201400000003,285.899994,267.34201,277.971985,107448500,-1,Negative
60,2020-07-08,281.0,283.451996,262.26800499999996,273.175995,81556500,-1,Negative
61,2020-07-09,279.39801,281.71200600000003,270.256012,278.85598799999997,58588000,-1,Negative
62,2020-07-10,279.200012,309.783997,275.201996,308.929993,116688000,1,Positive
63,2020-07-13,331.799988,358.99798599999997,294.221985,299.411987,194927000,-1,Negative
64,2020-07-14,311.200012,318.0,286.200012,303.359985,117090500,-1,Negative
65,2020-07-15,308.600006,310.0,291.399994,309.201996,81839000,1,Positive
66,2020-07-16,295.432007,306.34201,293.200012,300.127991,71504000,1,Positive
67,2020-07-17,302.690002,307.50201400000003,298.0,300.167999,46650000,-1,Negative
68,2020-07-20,303.802002,330.0,297.600006,328.600006,85607000,1,Positive
69,2020-07-21,327.985992,335.0,311.600006,313.67199700000003,80536000,-1,Negative
70,2020-07-22,319.799988,325.283997,312.399994,318.466003,70805500,-1,Negative
71,2020-07-23,335.790009,337.799988,296.153992,302.614014,121642500,-1,Negative
72,2020-07-24,283.201996,293.0,273.308014,283.399994,96983000,1,Positive
73,2020-07-27,287.0,309.588013,282.600006,307.920013,80243500,1,Positive
74,2020-07-28,300.799988,312.940002,294.884003,295.298004,79043500,-1,Negative
75,2020-07-29,300.200012,306.96200600000003,297.399994,299.821991,47134500,-1,Negative
76,2020-07-30,297.600006,302.64801,294.200012,297.49798599999997,38105000,-1,Negative
77,2020-07-31,303.0,303.410004,284.196014,286.152008,61041000,-1,Negative
78,2020-08-03,289.839996,301.96200600000003,288.87600699999996,297.0,44046500,1,Positive
79,2020-08-04,299.00201400000003,305.48199500000004,292.399994,297.399994,42075000,-1,Negative
80,2020-08-05,298.597992,299.967987,293.661987,297.003998,24739000,-1,Negative
81,2020-08-06,298.16598500000003,303.46200600000003,295.451996,297.91598500000003,29961500,-1,Negative
82,2020-08-07,299.90799,299.950012,283.00201400000003,290.541992,44482000,-1,Negative
83,2020-08-10,289.600006,291.5,277.167999,283.713989,37611500,-1,Negative
84,2020-08-11,279.200012,284.0,273.0,274.877991,43129000,-1,Negative
85,2020-08-12,294.0,317.0,287.0,310.951996,109147000,1,Positive
86,2020-08-13,322.200012,330.235992,313.451996,324.200012,102126500,1,Positive
87,2020-08-14,332.99798599999997,333.76001,325.32800299999997,330.141998,62888000,-1,Negative
88,2020-08-17,335.399994,369.17199700000003,334.56601,367.127991,101211500,1,Positive
89,2020-08-18,379.798004,384.77999900000003,369.022003,377.417999,82372500,-1,Negative
90,2020-08-19,373.0,382.200012,368.242004,375.705994,61026500,1,Positive
91,2020-08-20,372.135986,404.39801,371.411987,400.365997,103059000,1,Positive
92,2020-08-21,408.951996,419.097992,405.01001,409.996002,107448000,1,Positive
93,2020-08-24,425.256012,425.799988,385.503998,402.839996,100318000,-1,Negative
94,2020-08-25,394.977997,405.589996,393.600006,404.667999,53294500,1,Positive
95,2020-08-26,412.0,433.200012,410.72601299999997,430.634003,71197000,1,Positive
96,2020-08-27,436.09200999999996,459.119995,428.5,447.75,118465000,1,Positive
97,2020-08-28,459.02398700000003,463.69799800000004,437.303986,442.67999299999997,100406000,-1,Negative
98,2020-08-31,444.60998499999994,500.14001500000006,440.10998499999994,498.32000700000003,118374400,1,Positive
99,2020-09-01,502.14001500000006,502.48999000000003,470.51000999999997,475.049988,89841100,-1,Negative
100,2020-09-02,478.98999000000003,479.040009,405.119995,447.369995,96176100,-1,Negative
101,2020-09-03,407.230011,431.799988,402.0,407.0,87596100,-1,Negative
102,2020-09-04,402.809998,428.0,372.019989,418.320007,110321900,1,Positive
103,2020-09-08,356.0,368.73999,329.880005,330.209991,115465700,-1,Negative
104,2020-09-09,356.600006,369.0,341.51001,366.27999900000003,79465800,1,Positive
105,2020-09-10,386.209991,398.98999,360.559998,371.339996,84930600,-1,Negative
106,2020-09-11,381.940002,382.5,360.5,372.72000099999997,60717500,-1,Negative
107,2020-09-14,380.950012,420.0,373.299988,419.619995,83020600,1,Positive
